"","annotated_genes","seqnames","start","end","width","strand","startCpG","endCpG","target","region","lenCpG","bp","tg_mean","bg_mean","delta_means","delta_quants","delta_maxmin","ttest","direction","dist_to_TSS","X","baseMean","log2FoldChange","lfcSE","pvalue","padj","SH.SY5Y_C2","SH.SY5Y_C1","SH.SY5Y_J2","SH.SY5Y_J4","SH.SY5Y_C4","SH.SY5Y_J3","SH.SY5Y_J1","SH.SY5Y_C3","type","description"
"78","ACSL4","chrX",109908376,109909407,1032,"*",28792546,28792552,"R","chrX:109908376-109909407","6CpGs","1031bp",0.433,0.882,0.449,0.44,0.438,0.000338,"U",-174973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ACSL4","chrX",109808552,109809422,871,"*",28791658,28791666,"R","chrX:109808552-109809422","8CpGs","870bp",0.293,0.802,0.509,0.397,0.388,0.0473,"U",-75149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ACSL4","chrX",109953240,109954083,844,"*",28792840,28792845,"R","chrX:109953240-109954083","5CpGs","843bp",0.567,0.905,0.338,0.317,0.3,0.00977,"U",-219837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ACSL4","chrX",109913884,109914930,1047,"*",28792572,28792585,"R","chrX:109913884-109914930","13CpGs","1046bp",0.962,0.593,0.369,0.315,0.307,0.0201,"M",-180481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ACTBL2","chr5",57494706,57494881,176,"*",8268546,8268549,"R","chr5:57494706-57494881","3CpGs","175bp",0.494,0,0.494,0.455,0.417,0.0237,"M",-11895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ACTL7B","chr9",107895665,107896284,620,"*",14592033,14592041,"R","chr9:107895665-107896284","8CpGs","619bp",0.732,0.293,0.439,0.414,0.404,0.00318,"M",959702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","ACTL7B","chr9",108247675,108249269,1595,"*",14594580,14594587,"R","chr9:108247675-108249269","7CpGs","1594bp",0.545,0.194,0.351,0.302,0.278,0.0223,"M",606717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","ACTL7B","chr9",108547322,108548002,681,"*",14596636,14596641,"R","chr9:108547322-108548002","5CpGs","680bp",0.388,0.0357,0.352,0.312,0.304,0.0114,"M",307984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","ACTL7B","chr9",108831036,108831172,137,"*",14598741,14598745,"R","chr9:108831036-108831172","4CpGs","136bp",0.0714,0.528,0.456,0.394,0.357,0.0271,"U",24814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","ACTL7B","chr9",107955592,107956875,1284,"*",14592469,14592479,"R","chr9:107955592-107956875","10CpGs","1283bp",0.521,0.127,0.394,0.36,0.348,0.00673,"M",899111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","ACTL7B","chr9",108182444,108183577,1134,"*",14594167,14594183,"R","chr9:108182444-108183577","16CpGs","1133bp",0.163,0.47,0.307,0.274,0.255,0.0169,"U",672409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","ACTL7B","chr9",108240612,108241776,1165,"*",14594553,14594558,"R","chr9:108240612-108241776","5CpGs","1164bp",0.295,0.89,0.595,0.5,0.434,0.0461,"U",614210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ACTL7B","chr9",108075857,108075999,143,"*",14593376,14593380,"R","chr9:108075857-108075999","4CpGs","142bp",0.562,0.258,0.304,0.247,0.214,0.0468,"M",779987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","ACTL7B","chr9",108246553,108247251,699,"*",14594573,14594578,"R","chr9:108246553-108247251","5CpGs","698bp",0.536,0.0833,0.452,0.355,0.333,0.0379,"M",608735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","ACTL7B","chr9",107992585,107994294,1710,"*",14592751,14592761,"R","chr9:107992585-107994294","10CpGs","1709bp",0.2,0.526,0.326,0.267,0.264,0.0342,"U",861692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","ACTL8","chr1",17699388,17699411,24,"*",331222,331225,"R","chr1:17699388-17699411","3CpGs","23bp",0.944,0.556,0.389,0.361,0.333,0.0198,"M",-55922,"ENSG00000117148",2.14787776569877,1.68978972417651,1.43908570207295,0.000682532717005401,0.00333194355279246,4.44183057157952,3.42165821694271,0,0,4.54176467988953,0,0,4.77776865717842,"protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"94","ACTL8","chr1",18023018,18023228,211,"*",335220,335225,"R","chr1:18023018-18023228","5CpGs","210bp",0.697,0.229,0.468,0.354,0.333,0.0498,"M",267685,"ENSG00000117148",2.14787776569877,1.68978972417651,1.43908570207295,0.000682532717005401,0.00333194355279246,4.44183057157952,3.42165821694271,0,0,4.54176467988953,0,0,4.77776865717842,"protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"95","ACTL8","chr1",18006408,18006796,389,"*",335023,335029,"R","chr1:18006408-18006796","6CpGs","388bp",0.638,0.975,0.337,0.286,0.258,0.0302,"U",251075,"ENSG00000117148",2.14787776569877,1.68978972417651,1.43908570207295,0.000682532717005401,0.00333194355279246,4.44183057157952,3.42165821694271,0,0,4.54176467988953,0,0,4.77776865717842,"protein_coding","actin like 8 [Source:HGNC Symbol;Acc:HGNC:24018]"
"96","ACTL9","chr19",8689298,8689353,56,"*",25122865,25122869,"R","chr19:8689298-8689353","4CpGs","55bp",1,0.696,0.304,0.253,0.25,0.0298,"M",9442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ACTN1","chr14",68937121,68937732,612,"*",20368880,20368883,"R","chr14:68937121-68937732","3CpGs","611bp",0.767,0.33,0.436,0.361,0.325,0.0322,"M",41708,"ENSG00000072110",3817.8799601633,0.237518607813391,0.0697238730912963,0.000392810540000097,0.0020393368122784,4085.37366821027,4129.94146784985,3524.2260891543,3459.37131358551,4351.01056333417,3162.33044988511,3791.97902441906,4038.80710486816,"protein_coding","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"98","ACTN1","chr14",68910989,68911424,436,"*",20368527,20368532,"R","chr14:68910989-68911424","5CpGs","435bp",0.969,0.583,0.385,0.291,0.271,0.0494,"M",68016,"ENSG00000072110",3817.8799601633,0.237518607813391,0.0697238730912963,0.000392810540000097,0.0020393368122784,4085.37366821027,4129.94146784985,3524.2260891543,3459.37131358551,4351.01056333417,3162.33044988511,3791.97902441906,4038.80710486816,"protein_coding","actinin alpha 1 [Source:HGNC Symbol;Acc:HGNC:163]"
"99","ACTR5","chr20",38790577,38790783,207,"*",26398934,26398942,"R","chr20:38790577-38790783","8CpGs","206bp",0.827,0.075,0.752,0.678,0.671,0.00985,"M",42117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","ACTR8","chr3",53881210,53881383,174,"*",5071302,5071306,"R","chr3:53881210-53881383","4CpGs","173bp",1,0.22,0.78,0.73,0.727,0.00459,"M",769,"ENSG00000113812",1345.54891169489,-0.239004286052367,0.0689230360696069,0.000311667050697376,0.00166016010925548,1303.67727275859,1159.94213554358,1520.48000581517,1467.23633969278,1254.66249281948,1395.9419080564,1470.39785890707,1192.05327996602,"protein_coding","actin related protein 8 [Source:HGNC Symbol;Acc:HGNC:14672]"
"101","ACTRT1","chrX",128534159,128535222,1064,"*",28926201,28926209,"R","chrX:128534159-128535222","8CpGs","1063bp",0.882,0.143,0.739,0.613,0.55,0.0329,"M",-481756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","ACTRT1","chrX",127911299,127913203,1905,"*",28923369,28923377,"R","chrX:127911299-127913203","8CpGs","1904bp",0.367,0.0588,0.308,0.235,0.216,0.045,"M",139200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ACTRT1","chrX",128874340,128876192,1853,"*",28928348,28928359,"R","chrX:128874340-128876192","11CpGs","1852bp",0.408,0.0757,0.333,0.312,0.295,0.0101,"M",-821937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","ACTRT1","chrX",128357234,128357430,197,"*",28925311,28925314,"R","chrX:128357234-128357430","3CpGs","196bp",0.528,0.917,0.389,0.296,0.278,0.0474,"U",-304831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ACTRT1","chrX",127662336,127662410,75,"*",28922063,28922068,"R","chrX:127662336-127662410","5CpGs","74bp",0.336,0,0.336,0.305,0.273,0.034,"M",389993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","ACTRT1","chrX",128836786,128836817,32,"*",28928145,28928149,"R","chrX:128836786-128836817","4CpGs","31bp",0.162,0.556,0.394,0.359,0.348,0.00705,"U",-784383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","ACTRT2","chr1",2530511,2530604,94,"*",69061,69068,"R","chr1:2530511-2530604","7CpGs","93bp",0.887,0.438,0.45,0.363,0.333,0.0321,"M",-490863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","ACTRT2","chr1",2552757,2552818,62,"*",69785,69788,"R","chr1:2552757-2552818","3CpGs","61bp",0.8,0.188,0.613,0.553,0.55,0.0103,"M",-468649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","ACVR1","chr2",158143019,158143822,804,"*",3817012,3817017,"R","chr2:158143019-158143822","5CpGs","803bp",0.887,0.586,0.302,0.282,0.275,0.00393,"M",-266689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","ACVR2A","chr2",147245341,147246130,790,"*",3743050,3743056,"R","chr2:147245341-147246130","6CpGs","789bp",0.464,0.0957,0.369,0.328,0.309,0.0135,"M",-598387,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"111","ACVR2A","chr2",146950121,146950450,330,"*",3741501,3741505,"R","chr2:146950121-146950450","4CpGs","329bp",0.448,0.861,0.413,0.378,0.367,0.00657,"U",-894067,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"112","ACVR2A","chr2",146857409,146857988,580,"*",3740985,3740988,"R","chr2:146857409-146857988","3CpGs","579bp",0.722,0.329,0.394,0.339,0.31,0.0243,"M",-986529,"ENSG00000121989",562.009222816647,-0.271198776778433,0.103877341583372,0.00442969404215948,0.0169877884628163,473.054955873219,553.168078405738,597.507548231152,669.555738113325,420.113232889782,589.311763955112,634.363532174973,558.998932889875,"protein_coding","activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]"
"113","ADA2","chr22",17179657,17179928,272,"*",27290354,27290368,"R","chr22:17179657-17179928","14CpGs","271bp",0.878,0.464,0.414,0.358,0.333,0.0187,"M",78307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","ADAM12","chr10",126403401,126403583,183,"*",16297561,16297564,"R","chr10:126403401-126403583","3CpGs","182bp",0.4,0,0.4,0.4,0.4,0,"M",-14924,"ENSG00000148848",5217.07462131867,1.83347955253902,0.0978242276339601,1.43245264107266e-79,1.20164293326112e-76,9328.95465795989,7187.76336105765,2270.85743571207,2034.84326171477,7613.13304466483,2244.33430314663,2535.56050621579,8521.15040007771,"protein_coding","ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
"115","ADAM12","chr10",126410792,126411391,600,"*",16297649,16297652,"R","chr10:126410792-126411391","3CpGs","599bp",0.657,1,0.343,0.314,0.286,0.0267,"U",-22315,"ENSG00000148848",5217.07462131867,1.83347955253902,0.0978242276339601,1.43245264107266e-79,1.20164293326112e-76,9328.95465795989,7187.76336105765,2270.85743571207,2034.84326171477,7613.13304466483,2244.33430314663,2535.56050621579,8521.15040007771,"protein_coding","ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]"
"116","ADAM19","chr5",157563915,157564119,205,"*",9039441,9039445,"R","chr5:157563915-157564119","4CpGs","204bp",0.292,0.784,0.493,0.413,0.389,0.0222,"U",11656,"ENSG00000135074",916.111860799321,0.338772050623641,0.0711282475098498,6.62073627298363e-07,6.32056706236929e-06,1054.93476075014,1032.20022877772,830.921776150886,754.972313757411,1010.54264127542,785.749018606816,837.927949216196,1021.64619785999,"protein_coding","ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]"
"117","ADAM20","chr14",70622683,70623170,488,"*",20386136,20386139,"R","chr14:70622683-70623170","3CpGs","487bp",0.569,0.929,0.359,0.276,0.257,0.0438,"U",-87668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","ADAM23","chr2",206231941,206232727,787,"*",4176223,4176232,"R","chr2:206231941-206232727","9CpGs","786bp",0.45,0.86,0.41,0.355,0.329,0.0201,"U",-210805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","ADAM23","chr2",205918348,205918664,317,"*",4172164,4172167,"R","chr2:205918348-205918664","3CpGs","316bp",0.958,0.646,0.312,0.272,0.25,0.0215,"M",-524868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","ADAM29","chr4",174671897,174672772,876,"*",7587779,7587788,"R","chr4:174671897-174672772","9CpGs","875bp",0.16,0.792,0.631,0.589,0.583,0.00443,"U",-156917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","ADAM29","chr4",174660015,174661129,1115,"*",7587713,7587718,"R","chr4:174660015-174661129","5CpGs","1114bp",0.765,0.464,0.301,0.245,0.222,0.0326,"M",-168560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","ADAMTS10","chr19",8589460,8589493,34,"*",25121087,25121091,"R","chr19:8589460-8589493","4CpGs","33bp",0.815,0.286,0.53,0.479,0.429,0.0346,"M",21242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","ADAMTS16","chr5",5040902,5041439,538,"*",7833924,7833928,"R","chr5:5040902-5041439","4CpGs","537bp",0.594,0.209,0.385,0.361,0.345,0.00702,"M",-98891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","ADAMTS16","chr5",4903730,4905230,1501,"*",7832755,7832776,"R","chr5:4903730-4905230","21CpGs","1500bp",0.896,0.562,0.334,0.271,0.264,0.0337,"M",-235100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","ADAMTS16","chr5",5139608,5139617,10,"*",7834808,7834811,"R","chr5:5139608-5139617","3CpGs","9bp",0.817,0.304,0.513,0.454,0.443,0.0117,"M",-713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","ADAMTS18","chr16",77425698,77425771,74,"*",22645723,22645727,"R","chr16:77425698-77425771","4CpGs","73bp",1,0.6,0.4,0.4,0.4,0,"M",9263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","ADAMTS18","chr16",77641711,77641734,24,"*",22647588,22647591,"R","chr16:77641711-77641734","3CpGs","23bp",0.938,0.523,0.415,0.362,0.33,0.0248,"M",-206677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ADAMTS19","chr5",129458748,129458953,206,"*",8774498,8774501,"R","chr5:129458748-129458953","3CpGs","205bp",0.717,0,0.717,0.658,0.6,0.0255,"M",-1328,"ENSG00000145808",4745.70368853193,-0.418328765606508,0.0637463434288866,1.06638681849252e-11,2.09927246138516e-10,3873.27625841734,4029.57282681953,5310.99556625819,5885.47759921836,4093.26541775044,5149.13087193325,5479.19665775608,4144.71431010228,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 19 [Source:HGNC Symbol;Acc:HGNC:17111]"
"129","ADAMTS3","chr4",72142712,72143935,1224,"*",6887768,6887775,"R","chr4:72142712-72143935","7CpGs","1223bp",0.244,0.695,0.451,0.347,0.327,0.045,"U",425286,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"130","ADAMTS3","chr4",72985267,72986306,1040,"*",6892570,6892574,"R","chr4:72985267-72986306","4CpGs","1039bp",0.583,0.156,0.428,0.344,0.3,0.0454,"M",-416046,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"131","ADAMTS3","chr4",72913819,72914669,851,"*",6892118,6892126,"R","chr4:72913819-72914669","8CpGs","850bp",0.717,0.389,0.328,0.259,0.24,0.0366,"M",-344598,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"132","ADAMTS3","chr4",72111603,72112872,1270,"*",6887558,6887564,"R","chr4:72111603-72112872","6CpGs","1269bp",0.147,0.591,0.444,0.362,0.328,0.0327,"U",456349,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"133","ADAMTS3","chr4",72050859,72051075,217,"*",6887303,6887307,"R","chr4:72050859-72051075","4CpGs","216bp",0.715,0.345,0.369,0.347,0.335,0.00464,"M",518146,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"134","ADAMTS3","chr4",72215648,72216806,1159,"*",6888137,6888146,"R","chr4:72215648-72216806","9CpGs","1158bp",0.291,0.866,0.575,0.521,0.475,0.0245,"U",352415,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"135","ADAMTS3","chr4",72106168,72108008,1841,"*",6887536,6887550,"R","chr4:72106168-72108008","14CpGs","1840bp",0.881,0.125,0.756,0.618,0.592,0.0287,"M",461213,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"136","ADAMTS3","chr4",72746477,72747203,727,"*",6891234,6891239,"R","chr4:72746477-72747203","5CpGs","726bp",0.418,0.74,0.322,0.252,0.236,0.0391,"U",-177256,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"137","ADAMTS3","chr4",72068637,72069595,959,"*",6887382,6887389,"R","chr4:72068637-72069595","7CpGs","958bp",0.272,0.819,0.548,0.446,0.406,0.0317,"U",499626,"ENSG00000156140",2843.48555423148,1.47220672051872,0.0681712189555008,2.89911697984602e-105,4.18841872560532e-102,4309.68611207503,4344.36538277826,1465.41397317214,1616.02650371796,3899.10497768516,1477.14628497935,1452.40844530807,4183.7327541359,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]"
"138","ADAMTS7","chr15",78811794,78811865,72,"*",21467321,21467325,"R","chr15:78811794-78811865","4CpGs","71bp",0.721,0.275,0.446,0.408,0.392,0.00724,"M",-330,"ENSG00000136378",4741.10879743446,-0.708955428647533,0.0729701919245113,1.07696903724884e-23,6.6209408542922e-22,3274.739588897,3363.49002725468,5984.11617423798,5731.17668837743,3878.66703662566,5877.65013918484,6045.38978050329,3773.64094439476,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 7 [Source:HGNC Symbol;Acc:HGNC:223]"
"139","ADAMTS8","chr11",130427070,130427277,208,"*",17707972,17707982,"R","chr11:130427070-130427277","10CpGs","207bp",0.13,0.517,0.387,0.338,0.305,0.029,"U",1332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","ADAMTSL1","chr9",18256258,18256745,488,"*",13925855,13925859,"R","chr9:18256258-18256745","4CpGs","487bp",0.452,0.832,0.38,0.311,0.271,0.0451,"U",349695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","ADAMTSL2","chr9",133287076,133287211,136,"*",14905077,14905080,"R","chr9:133287076-133287211","3CpGs","135bp",0.929,0.586,0.343,0.294,0.257,0.0423,"M",-244953,"ENSG00000197859",494.328529087608,0.808403200312309,0.103189409576715,1.69091628091824e-16,5.54505395779052e-15,576.327516662443,653.536719436057,400.256088017291,365.086976543274,649.472349224203,318.630507545284,335.171179686478,656.146895585836,"protein_coding","ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631]"
"142","ADAMTSL2","chr9",133274683,133274878,196,"*",14904745,14904762,"R","chr9:133274683-133274878","17CpGs","195bp",0.815,0.102,0.713,0.699,0.688,0.00109,"M",-257286,"ENSG00000197859",494.328529087608,0.808403200312309,0.103189409576715,1.69091628091824e-16,5.54505395779052e-15,576.327516662443,653.536719436057,400.256088017291,365.086976543274,649.472349224203,318.630507545284,335.171179686478,656.146895585836,"protein_coding","ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631]"
"143","ADAP1","chr7",933009,933140,132,"*",10850074,10850081,"R","chr7:933009-933140","7CpGs","131bp",0.95,0.648,0.302,0.259,0.233,0.0298,"M",42409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","ADAP1","chr7",862509,862733,225,"*",10847234,10847237,"R","chr7:862509-862733","3CpGs","224bp",1,0.657,0.343,0.289,0.286,0.0267,"M",112816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","ADARB1","chr21",44976044,44976140,97,"*",27178856,27178861,"R","chr21:44976044-44976140","5CpGs","96bp",0.95,0.523,0.427,0.381,0.355,0.0161,"M",-97713,"ENSG00000197381",1242.97932240068,-0.764597094201889,0.0908877426685675,1.53142139126072e-18,6.08009363049389e-17,988.307302176444,778.997520723956,1522.12376798362,1581.58433611954,928.790877037409,1701.42504029035,1495.01495120042,947.59078367372,"protein_coding","adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]"
"146","ADCK1","chr14",78055336,78055890,555,"*",20475516,20475522,"R","chr14:78055336-78055890","6CpGs","554bp",0.863,0.357,0.505,0.395,0.349,0.0449,"M",255227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","ADCY2","chr5",7231417,7231452,36,"*",7857109,7857113,"R","chr5:7231417-7231452","4CpGs","35bp",0.155,0.679,0.524,0.484,0.476,0.00513,"U",-164686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","ADCY2","chr5",7837832,7838461,630,"*",7862821,7862826,"R","chr5:7837832-7838461","5CpGs","629bp",0.45,0.817,0.367,0.326,0.3,0.02,"U",441694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
